2026-06-04T19:26:24.333187Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:26:25.385622Z,127.0.0.1,COMMAND,,,cat /etc/passwd
2026-06-04T19:30:19.099195Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:32:22.633792Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:33:01.566353Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:33:34.008108Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:34:57.343619Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:35:15.011228Z,127.0.0.1,COMMAND,,,cat /etc/passwd
2026-06-04T19:37:06.533476Z,127.0.0.1,COMMAND,,,ls
2026-06-04T19:37:50.586566Z,127.0.0.1,COMMAND,,,cd bash_history .ssh
2026-06-04T19:42:15.808897Z,127.0.0.1,LOGIN,root,hacked123,
2026-06-04T19:42:20.492221Z,127.0.0.1,COMMAND,,,root
2026-06-04T19:42:29.614345Z,127.0.0.1,COMMAND,,,ls
2026-06-04T19:42:57.391644Z,127.0.0.1,COMMAND,,,cd wp-config.php  index.php
2026-07-07T09:34:26.033651Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T09:34:33.856868Z,127.0.0.1,COMMAND,,,ls
2026-07-07T09:35:13.863317Z,127.0.0.1,COMMAND,,,ls
2026-07-07T09:35:44.761040Z,127.0.0.1,COMMAND,,,cd ../
2026-07-07T09:37:32.588635Z,127.0.0.1,COMMAND,,,ls
2026-07-07T09:40:19.991123Z,127.0.0.1,COMMAND,,,cd /etc/passwd
2026-07-07T09:43:19.566463Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T09:43:27.959789Z,127.0.0.1,COMMAND,,,ls
2026-07-07T09:44:06.317047Z,127.0.0.1,COMMAND,,,cd wp-config.php
2026-07-07T09:45:19.635656Z,127.0.0.1,COMMAND,,,cat wp-config.php
2026-07-07T09:46:09.686238Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T09:46:18.828519Z,127.0.0.1,COMMAND,,,are you an ai
2026-07-07T09:49:39.557581Z,127.0.0.1,COMMAND,,,are you an ai
2026-07-07T09:52:02.561430Z,127.0.0.1,COMMAND,,,oh
2026-07-07T09:52:17.051579Z,127.0.0.1,COMMAND,,,lol
2026-07-07T09:52:44.850881Z,127.0.0.1,COMMAND,,,are you an ai
2026-07-07T09:53:00.975156Z,127.0.0.1,COMMAND,,,oh oh lol
2026-07-07T09:53:19.930520Z,127.0.0.1,COMMAND,,,please send me money
2026-07-07T09:53:38.956020Z,127.0.0.1,COMMAND,,,are you a!
2026-07-07T09:53:58.049091Z,127.0.0.1,COMMAND,,,rm -rf /
2026-07-07T09:54:12.792190Z,127.0.0.1,COMMAND,,,sudo rm -rf /
2026-07-07T14:23:43.185327Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:23:45.829102Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:24:42.238828Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:26:10.836027Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:26:12.748375Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:26:55.282443Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:26:59.852109Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:29:35.985760Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:29:44.279743Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:33:47.172921Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:33:54.719663Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:39:20.440492Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:39:24.260207Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:41:06.506266Z,127.0.0.1,COMMAND,,,lw
2026-07-07T14:41:22.277072Z,127.0.0.1,COMMAND,,,are you an ai
2026-07-07T14:45:50.648204Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T14:45:52.735941Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:46:05.257761Z,127.0.0.1,COMMAND,,,are you an ai
2026-07-07T14:46:41.368126Z,127.0.0.1,COMMAND,,,cd .bash_history
2026-07-07T14:46:54.899385Z,127.0.0.1,COMMAND,,,cd /var/www/html/
2026-07-07T14:47:00.608387Z,127.0.0.1,COMMAND,,,ls
2026-07-07T14:47:15.593437Z,127.0.0.1,COMMAND,,,cd index.php
2026-07-07T14:47:49.953990Z,127.0.0.1,COMMAND,,,what is the 1+1
2026-07-07T14:48:32.866181Z,127.0.0.1,COMMAND,,,cat index.php
2026-07-07T14:49:03.295136Z,127.0.0.1,COMMAND,,,cat wp-config.php
2026-07-07T15:01:57.375535Z,127.0.0.1,LOGIN,root,hacked123,
2026-07-07T15:02:43.007614Z,127.0.0.1,LOGIN,root,hacked123,
